挨拶	「おはようございます」とご挨拶して入室しました
挨拶	チャイムを鳴らし、挨拶して入室しました
健康管理	体調をお変わりないかご確認しました
健康管理	ご体調のお変わりをお聞きしました
トイレ介助	安全に配慮しながらトイレ介助をしました
トイレ介助	トイレ介助をしました
トイレ誘導	排泄のお促しをしました
トイレ誘導	トイレへお誘いしました
全身清拭	温かいタオルで全身清拭をしました
全身清拭	全身清拭をしました
部分清拭	気になる部位を中心に部分清拭をしました
部分清拭	部分清拭をしました
洗髪	洗髪を介助しました
洗髪	洗髪のお手伝いをしました
一般浴	声掛けをし、安全に配慮して入浴を実施しました
一般浴	ふらつきに注意しながら入浴を実施しました
シャワー浴	安全に配慮してシャワー浴を実施しました
シャワー浴	シャワー浴を実施しました
機械浴	ゆっくりと機械浴を実施しました
機械浴	機械浴を実施しました
洗面	洗面のお手伝いをしました
洗面	洗顔のお手伝いをしました
口腔ケア	口腔ケアをしました
口腔ケア	口腔内を清潔に保つため口腔ケアをしました
更衣介助	更衣のお手伝いをしました
更衣介助	入浴後に着替えのお手伝いをしました
移動介助	安全に移動介助をしました
移動介助	転倒に注意しながら移動介助をしました
起床介助	声掛けをして起床のお手伝いをしました
起床介助	起床のお手伝いをしました
就寝介助	就寝の準備をお手伝いしました
就寝介助	安心してお休みいただけるよう就寝介助をしました
服薬確認	お薬の飲み忘れがないか一緒にご確認しました
服薬確認	白湯を用意し、服薬確認済みです
安全確保	室内の安全確認をしました
安全確保	転倒リスクに配慮し安全確認をしました
清掃_居室	居室を掃き・拭き掃除しました
清掃_居室	居室を掃除しました
清掃_トイレ	トイレを清潔に整えました
清掃_トイレ	トイレを清掃しました
清掃_ベッド	シーツを整えベッド周りを清潔に保ちました
清掃_ベッド	ベッド周りを整えました
清掃_台所	台所のシンク周りを清掃しました
清掃_台所	台所を掃除しました
清掃_浴室	浴槽・浴室を清掃しました
清掃_浴室	浴室を清潔に整えました
ゴミ出し	各部屋のゴミをまとめてゴミ出しをしました
ゴミ出し	ゴミ出しをしました
洗濯	洗濯物をまとめて洗濯をしました
洗濯	洗濯をしました
調理	冷蔵庫の食材を確認しながら調理をしました
調理	献立をご相談して調理をしました
配下膳	配膳してお食事を見守り、食後に下膳・食器洗いをしました
配下膳	配膳し、食後に下膳をしました
配膳のみ	お食事の準備をして配膳しました
配膳のみ	配膳しました
買物	必要な日用品を確認してお買い物をしました
買物	日用品のお買い物をしました
